Section 1 (Committers),,,,

dev.eclipse.org Login,,,,
emerks,,,,
fbudinsky,,,,
davidms,,,,
marcelop,,,,
elena,,,,
nickb,,,,
bportier,,,,
khussey,,,,
tschindl,,,,

Section 2 (Developers),,,,

Component,Bug #,Contributor,Size,Committer
org.eclipse.emf.ecore,122422,Didier Villevalois,small,emerks
org.eclipse.emf.common,130525,Ronald Steinhau,small,emerks
org.eclipse.emf.ecore.edit,130468,Aaron Digulla,small,emerks
org.eclipse.emf.ecore.xmi + org.eclipse.emf.test.xml,129874,Jesper S Mueller,300 lines,emerks
org.eclipse.emf.edit,131811,Peter Nehrer,small,davidms
org.eclipse.emf.edit.ui,150500,Henrik Rentz-Reichert,small,davidms
org.eclipse.emf.codegen + org.eclipse.emf.codegen.ui,147594,Chris Aniszczyk,small,davidms
org.eclipse.emf.codegen,149770,Eric Norman,small,emerks
org.eclipse.emf.edit + org.eclipse.emf.test.edit,161744,Ian Bull,317 lines,emerks
org.eclipse.emf.ecore.xmi,166967,Peter Nehrer,small,emerks
org.eclipse.emf.edit + org.eclipse.emf.ecore + org.eclipse.emf.ecore.xmi + org.eclipse.emf.codegen.ecore + org.eclipse.emf.test.xml,166112,Peter Nehrer,1827,emerks
org.eclipse.emf.common.ui,165770,Hallvard Traetteberg,174,emerks
org.eclipse.emf.test.tools,170204,John Francis,small,marcelop
org.eclipse.emf.ecore + org.eclipse.emf.test.core,170223,Boris Gruschko,small,emerks
org.eclipse.emf.ecore,156783,John Didion,170 lines,marcelop
org.eclipse.emf.codegen,179004,Paul Elder,small,marcelop
org.eclipse.emf.codegen.ecore,136881,Patrick Sodre,small,emerks
org.eclipse.emf.ecore + org.eclipse.emf.edit,185971,Richard Backhouse,144,emerks
org.eclipse.emf.codegen.ecore,101163,Jacek Pospychala,small,emerks
org.eclipse.emf.databinding + org.eclipse.emf.databinding.edit,210139,Boris Bokowski,400,emerks
org.eclipse.emf.databinding + org.eclipse.emf.databinding.edit,210139,Giulio Seregni,200,emerks
org.eclipse.emf.databinding + org.eclipse.emf.databinding.edit,215131,Trevor S. Kaufman,small,emerks
org.eclipse.emf.ecore.xmi + org.eclipse.emf.test.xml,129874,Jesper S Møller,200,emerks
org.eclipse.emf.codegen.ecore,233843,Tom Schindl,50,davidms
org.eclipse.emf.ecore,233847,Tom Schindl,10,emerks
org.eclipse.emf.ecore,233848,Tom Schindl,3,emerks
org.eclipse.emf.ecore,233850,Tom Schindl,5,emerks
org.eclipse.emf.common,233852,Tom Schindl,20,emerks
org.eclipse.emf.xmi,233854,Tom Schindl,10,emerks
org.eclipse.emf.edit,233855,Tom Schindl,2,emerks
org.eclipse.emf.edit,233856,Tom Schindl,2,emerks
org.eclipse.emf.edit,233857,Tom Schindl,7,emerks
org.eclipse.emf.edit,233858,Tom Schindl,3,emerks
org.eclipse.emf.common,233860,Tom Schindl,3,emerks
org.eclipse.emf.common,233861,Tom Schindl,2,emerks
org.eclipse.emf.ecore.xmi,233864,Tom Schindl,2,emerks
org.eclipse.emf.ecore.xmi,233865,Tom Schindl,16,emerks
org.eclipse.emf.ecore + org.eclipse.emf.test.core,234656,Florian Thienel,75,emerks
org.eclipse.emf.test.tools,246508,Alain Picard,90,marcelop
org.eclipse.emf.test.edit,247048,Andreas Voss,150,davidms
org.eclipse.emf.ecore,251841,Michael Golubev,3,emerks
org.eclipse.emf.edit.ui,259495,Tom Schindl,50,emerks
org.eclipse.emf.databinding + org.eclipse.emf.databinding.edit,262160,Hasan Ceylan,30,tschindl
org.eclipse.emf.xmi,271586,Mario Winterer,4,emerks
org.eclipse.emf.databinding,277358,Hasan Ceylan,6,tschindl

Section 3 (Third Party Software),,,,

Name,CQ,Location,License,Usage,
Tomcat 3.2.4,2335,org.eclipse.emf.codegen/codegen.jar,Apache Software License 1.1,derivative work,
XML4J 4.3,338,org.eclipse.emf.ecore/ecore.jar,Apache Software License 1.1,derivative work,
(No longer in use) SDO 1.0 Specification Interfaces,2336,org.eclipse.emf.ecore.commonj.sdo,Royalty-free license from IBM/BEA (see about.html),unmodified source,
