Section 1 (Committers),,,,

dev.eclipse.org Login,,,,
mtaal,,,,
ssmith,,,,
seberle,,,,

Section 2 (Developers),,,,

Component,Bug #,Contributor,Size,Committer

org.eclipse.emf.teneo,155131,Douglas Bitting,3229 lines,mtaal
org.eclipse.emf.teneo,158353,Douglas Bitting,small,mtaal
org.eclipse.emf.teneo,158356,Douglas Bitting,small,mtaal
org.eclipse.emf.teneo,158376,Douglas Bitting,small,mtaal
org.eclipse.emf.teneo,158782,Douglas Bitting,small,mtaal
org.eclipse.emf.teneo,158849,Douglas Bitting,small,mtaal
org.eclipse.emf.teneo,158851,Douglas Bitting,small,mtaal
org.eclipse.emf.teneo,158853,Douglas Bitting,small,mtaal
org.eclipse.emf.teneo,198124,Simon Bernard,143 lines,mtaal
org.eclipse.emf.teneo,176833,Jean-Denis Boudreault,506 lines,mtaal
org.eclipse.emf.teneo,177369,Jean-Denis Boudreault,957 lines,mtaal
org.eclipse.emf.teneo,179313,Jean-Denis Boudreault,small,mtaal
org.eclipse.emf.teneo,176356,Benjamin Cabe,small,mtaal
org.eclipse.emf.teneo,195242,Benjamin Cabe,small,mtaal
org.eclipse.emf.teneo,197110,Benjamin Cabe,small,mtaal
org.eclipse.emf.teneo,197514,Benjamin Cabe,small,mtaal
org.eclipse.emf.teneo,215427,Ole Ersoy,small,mtaal
org.eclipse.emf.teneo,162339,Michael Kanaley,240 lines,mtaal
org.eclipse.emf.teneo,207799,Alexandros Karypidis,small,mtaal
org.eclipse.emf.teneo,165428,Ilya Klyuchnikov,small,mtaal
org.eclipse.emf.teneo,165450,Ilya Klyuchnikov,small,mtaal
org.eclipse.emf.teneo,224790,Phaneesh,699 lines,mtaal
org.eclipse.emf.teneo,175909,Brian Vetter,246 lines,mtaal
org.eclipse.emf.teneo,196687,Jason Henriksen,small,mtaal
org.eclipse.emf.teneo,196689,Jason Henriksen,small,mtaal
org.eclipse.emf.teneo,216658,Jason Henriksen,155 lines,mtaal
org.eclipse.emf.teneo,227673,Jason Henriksen,small,mtaal

Section 3 (Third Party Software),,,,

No third party libaries are distributed with Teneo

