Section 1 (Committers),,,,

dev.eclipse.org Login,,,,
cdamus,,,,

Section 2 (Developers),,,,

Component,Bug #,Contributor,Size,Committer
org.eclipse.emf.transaction,177643,David Cummings,300 lines,cdamus
org.eclipse.emf.transaction,178793,David Cummings,small,cdamus
org.eclipse.emf.transaction,207306,Geoff Martin,small,cdamus
org.eclipse.emf.transaction,209491,Ed merks,small,cdamus
org.eclipse.emf.transaction,163291,Ed Merks,small,cdamus
org.eclipse.emf.transaction,214325,Fabrice Dubach,small,cdamus
org.eclipse.emf.transaction,225068,Mario Winterer,small,cdamus
org.eclipse.emf.transaction,228357,Ed Merks,small,cdamus
org.eclipse.emf.transaction,235634,Christian Vogt,small,cdamus
org.eclipse.emf.transaction,247691,ldamus,small,cdamus
org.eclipse.emf.transaction,245393,ldamus,small,cdamus
org.eclipse.emf.transaction,244654,ldamus,small,cdamus
org.eclipse.emf.transaction,248717,Bernd Vogt,118,cdamus
org.eclipse.emf.transaction,262175,Boris Gruschko,84,cdamus

Section 3 (Third Party Software),,,,

Name,Location,License,Usage,
