NOTE: THIS LOG IS OBSOLETE AND IS REPLACED BY http://www.eclipse.org/gmf/development/ipquery.php
Committers (Section 1)
ahunter
atikhomirov
crevells
fplante
mfeldman
rgronback
sshaw
vramaswamy
ldamus
mmostafa
dstadnik
ashatalin
rdvorak
Developers (Section 2),,,,,,
,bug #,name,key,committer,size,description
Runtime EMF,107879,Chris McGee,cmcgee,vramaswamy,54 LOC,MSLEventBroker could dispatch filtered notifications more efficiently
Developer Contributions,107880,Christian Vogt,cmcgee,vramaswamy,1057 LOC,ClipboardUtil should support copying of resource roots
component,107976,Maneesh Goyal,mgoyal,sshaw,13.76 KB,Better error reporting for the Diagram Editor
Runtime EMF,107976,Maneesh Goyal,mgoyal,sshaw,4.86 KB,Better error reporting for the Diagram Editor
com.ibm.xtools.diagram.ui.resources.editor (now org.eclipse.gmf.runtime.diagram.ui.resources.editor),108765,Tom MacDougall,tmacdoug,sshaw,large,epl-notification in copyright
com.ibm.xtools.diagram.ui.resources.editor.ide (now org.eclipse.gmf.runtime.diagram.ui.resources.editor.ide),108875,Tom MacDougall,tmacdoug,sshaw,small,Editing note text in full removes first inputed character
org.eclipse.gmf.runtime.*,108927,Tom MacDougall,tmacdoug,sshaw,small,Example plugins throw builder errors
org.eclipse.gmf.runtime.diagram.ui,108928,Tom MacDougall,tmacdoug,sshaw,1130 LOC,org.eclipse.gmf.runtime.diagram.ui.resources.editor API issues
org.eclipse.gmf.runtime.*,109092,Mohammed Mostafa,mmostafa,sshaw,large,API Analysis: Diagram layer API.  Determine if all API is needed and/or has appropriate signatures
Runtime Diagram,109445,Eliza Tworkowska,etworkow,ahunter,1071 LOC,New Eclipse Resources Bundles Should Be Used
org.eclipse.gmf.runtime.diagram.ui,109527,Tom MacDougall,tmacdoug,sshaw,small,GMF runtime and EMFT copyrights in exsd shema files need updating
Runtime Common,109529,Chris McGee,cmcgee,vramaswamy,29.65 KB,Some GMF Runtime Plugins' Tutorials Have Broken Links
org.eclipse.gmf.runtime.diagram.*,109532,Tom MacDougall,tmacdoug,sshaw,small,Copyright In doc.isv Is Still Old IBM Copyright
org.eclipse.gmf.runtime.doc.isv,109610,Linda Damus,ldamus,ahunter,10.61 KB,org.eclipse.gmf.tests.runtime.emf.type.ui tests failing
org.eclipse.gmf.runtime.doc.isv,109618,Mohammed Mostafa,mmostafa,sshaw,small,Remove the deprecated view facade interfaces and classes
