Section 1 (Committers),,,,
,,,,
dev.eclise.org Login,active/inactive,present/past,,
aigdalov,inactive,past,,
radvorak,inactive,past,,
sboyko,active,present,,
mfeldman,inactive,past,,
,,,,
Section 2 (Developers),,,,
,,,,
Component,Bug #,Contributor,Size,Committer
org.eclipse.m2m.qvt.oml,257583,Adolfo Sanchez-Barbudo Herrera,23640,radvorak
org.eclipse.m2m.qvt.oml,258048,Adolfo Sanchez-Barbudo Herrera,103500,radvorak
org.eclipse.m2m.qvt.oml,258048,Adolfo Sanchez-Barbudo Herrera,7410,radvorak
org.eclipse.m2m.qvt.oml,297966,Adolfo Sanchez-Barbudo Herrera,284800,sboyko
org.eclipse.m2m.qvt.oml,248862,Edward Willink,7380,radvorak
org.eclipse.m2m.qvt.oml,248862,Edward Willink,6180,radvorak
org.eclipse.m2m.qvt.oml,253970,Edward Willink,446,radvorak
org.eclipse.m2m.qvt.oml,262443,Edward Willink,58310,radvorak
org.eclipse.m2m.qvt.oml.emf.util,269815,Boris Blajer,small,radvorak
org.eclipse.m2m.qvt.oml.common.ui,269825,Boris Blajer,small,radvorak
,,,,
Section 3 (Third Party Software),,,,
,,,,
Library Name,CQ,License,Usage,CSV Location
Operational QVT Version: Initial,1355,Eclipse Public License,source,/cvsroot/modeling/org.eclipse.m2m/org.eclipse.m2m.qvt.oml
LALR Parser Generator (Runtime) LPG Version: 1.1,1560,Eclipse Public License,original lpgjavaruntime.jar repackaged as an OSGi bundle,/cvsroot/tools/org.eclipse.orbit/net.sourceforge.lpg.lpgjavaruntime v1_1
QVToperational and ImperativeOCL models,2475,Eclipse Public License,source,/cvsroot/modeling/org.eclipse.m2m/org.eclipse.m2m.qvt.oml
OMG QVT Specification Version: 1.0 (PB CQ2508),2593,Object Management Group License,modified source & binary,
OMG OCL Specification Version: 2.0,2594,Object Management Group License,unmodified source,
OMG MOF Specification Version: 2.0,2595,Object Management Group License,unmodified source,
LPG Version: 2.0.17 (using Orbit CQ3653),4242,Eclipse Public License,original lpgjavaruntime.jar repackaged as an OSGi bundle,/cvsroot/tools/org.eclipse.orbit/net.sourceforge.lpg.lpgjavaruntime v2_0_17
